Code,Name,Sector,EPS,signal_v2,gap_market_v2,price_B_base,price_C_base,price_B_3m,price_B_6m,price_B_9m,price_B_12m,price_C_3m,price_C_6m,price_C_9m,price_C_12m,per_B,per_C,sector_per_B,sector_per_C,gap_market_B,gap_market_C,gap_sector_B,gap_sector_C,ret_B_3m,ret_C_3m,ret_B_6m,ret_C_6m,ret_B_9m,ret_C_9m,ret_B_12m,ret_C_12m
062040,산일전기,소재/철강,3136.0,중립,-0.3541,54900,62000,88700,110100,130100,149300,84700,120100,133500,159200,17.506377551020407,19.770408163265305,18.005771885064203,19.770408163265305,0.05137563900538031,0.1589200062689677,-0.02773523608049504,0.0,61.56648451730419,36.612903225806456,100.5464480874317,93.70967741935485,136.97632058287797,115.3225806451613,171.94899817850637,156.77419354838707
251270,넷마블,엔터/미디어,313.0,강력매수,-0.808,40700,40000,62000,61700,48250,52200,59900,67100,48450,52300,130.03194888178913,127.79552715654953,26.221340275414942,26.768165680120738,6.809292524868306,6.491235988167541,3.9590122974647004,3.774160795465201,52.33415233415234,49.75,51.5970515970516,67.75,18.55036855036855,21.125,28.255528255528255,30.75
082740,한화엔진,방산/중공업,968.0,강력매수,-0.3539,20950,24200,28450,44900,42950,46650,29900,42900,39850,49050,21.642561983471076,25.0,21.642561983471076,25.0,0.2997813150533331,0.46547304018527536,0.0,0.0,35.79952267303103,23.553719008264462,114.31980906921243,77.27272727272727,105.01193317422435,64.6694214876033,122.67303102625297,102.68595041322315
353200,대덕전자,IT/전자,466.0,강력매수,-0.811,16770,18150,17320,28250,47100,85400,17050,27100,47800,82800,35.987124463519315,38.94849785407725,14.901788649522647,15.99594205336305,1.1612687072771033,1.2831189424345706,1.4149533529098939,1.4348986589313484,3.2796660703637444,-6.0606060606060606,68.45557543231962,49.311294765840216,180.8586762075134,163.36088154269973,409.2426952892069,356.198347107438
103590,일진전기,소재/철강,983.0,강력매수,-0.5998,25300,28600,41200,35300,54400,75100,33450,36250,53600,82600,25.737538148524923,29.094608341810783,18.005771885064203,19.770408163265305,0.5457121576675632,0.7054945655869329,0.42940487710355946,0.4716240606438487,62.845849802371546,16.95804195804196,39.52569169960474,26.74825174825175,115.01976284584981,87.41258741258741,196.83794466403162,188.8111888111888
051900,LG생활건강,유통/소비재,11281.0,매도,0.4202,331500,324500,319500,286000,258500,247500,338500,292500,262500,255500,29.385692757734244,28.76518039180924,16.788511749347258,16.938519447929735,0.7648083625945674,0.6861838544105022,0.7503453073424908,0.6982110201682936,-3.619909502262444,4.314329738058552,-13.725490196078432,-9.861325115562405,-22.021116138763198,-19.106317411402156,-25.339366515837103,-21.263482280431433
000990,DB하이텍,IT/전자,5520.0,강력매도,1.0111,44000,47750,46800,56800,67600,83800,46900,57200,64000,88100,7.971014492753623,8.65036231884058,14.901788649522647,15.99594205336305,-0.5212870034696866,-0.4929250893561819,-0.46509679608098853,-0.45921520033126817,6.363636363636363,-1.780104712041885,29.09090909090909,19.790575916230367,53.63636363636364,34.031413612565444,90.45454545454545,84.50261780104712
010060,OCI홀딩스,지주,5077.0,매수,-0.1003,70200,79600,72800,88400,115200,178800,71800,100200,106000,203000,13.827063226314753,15.678550324995076,10.02809407140721,10.94131257064717,-0.16959191627355744,-0.08094028758126517,0.37883262042180316,0.432967957341493,3.7037037037037033,-9.798994974874372,25.925925925925924,25.879396984924625,64.1025641025641,33.165829145728644,154.7008547008547,155.0251256281407
012510,더존비즈온,IT/전자,2170.0,강력매수,-0.4241,56900,56100,67500,88900,85600,119300,70400,86400,86200,119300,26.22119815668203,25.852534562211982,14.901788649522647,15.99594205336305,0.5747591920215026,0.515447696855188,0.7596007280322002,0.6161933117766354,18.629173989455182,25.49019607843137,56.239015817223205,54.01069518716578,50.43936731107206,53.65418894830659,109.66608084358525,112.65597147950088
036460,한국가스공사,에너지/화학,13174.0,강력매도,10.5333,35250,36400,41650,39100,39300,35400,37800,40350,40900,37700,2.6757249127068468,2.763018065887354,11.047358834244081,12.2040072859745,-0.8393047344202968,-0.8380348605958887,-0.7577950573658602,-0.7735974748996781,18.156028368794328,3.8461538461538463,10.921985815602838,10.851648351648352,11.48936170212766,12.362637362637363,0.425531914893617,3.571428571428571
011780,금호석유화학,에너지/화학,13423.0,강력매도,2.316,123700,114300,112300,104400,120700,126500,113200,109100,121500,131900,9.21552559040453,8.515235044326902,11.047358834244081,12.2040072859745,-0.44654574722014667,-0.5008461044679223,-0.16581639750501456,-0.30225909860664646,-9.21584478577203,-0.9623797025371827,-15.602263540824577,-4.549431321084865,-2.4252223120452707,6.299212598425196,2.263540824575586,15.398075240594924
014680,한솔케미칼,에너지/화학,10980.0,중립,0.2062,121300,134000,171700,209000,227500,273000,158000,203500,218000,294000,11.047358834244081,12.2040072859745,11.047358834244081,12.2040072859745,-0.3365318484749521,-0.28461425360718795,0.0,0.0,41.54987633965375,17.91044776119403,72.30008244023082,51.865671641791046,87.5515251442704,62.68656716417911,125.06183017312449,119.40298507462686
004170,신세계,유통/소비재,11776.0,중립,0.1564,143000,148100,188400,187100,247000,337000,184700,194900,258000,344000,12.143342391304348,12.576426630434783,16.788511749347258,16.938519447929735,-0.2707106693483507,-0.2627834332491872,-0.27668738166880785,-0.25752503522544273,31.74825174825175,24.71303173531398,30.83916083916084,31.600270087778526,72.72727272727273,74.20661715057393,135.66433566433568,132.27548953409857
097950,CJ제일제당,유통/소비재,9294.0,중립,0.3449,254500,265500,249000,230500,208000,214500,238000,239000,209000,212000,27.383258015924252,28.56681730148483,16.788511749347258,16.938519447929735,0.6445486972182577,0.6745560239689719,0.6310712006374788,0.6865002510580304,-2.161100196463654,-10.357815442561206,-9.430255402750491,-9.981167608286253,-18.271119842829076,-21.28060263653484,-15.717092337917485,-20.15065913370998
051600,한전KPS,소재/철강,3832.0,강력매도,0.9452,41850,42550,60100,47650,49450,59000,59000,49100,52000,67500,10.921189979123174,11.103862212943632,18.005771885064203,19.770408163265305,-0.34410913625414713,-0.34910357139996384,-0.39346171611880154,-0.4383594854872382,43.608124253285546,38.66039952996474,13.859020310633213,15.393654524089307,18.16009557945042,22.20916568742656,40.97968936678614,58.63689776733255
005850,에스엘,자동차/부품,7998.0,강력매도,3.2164,38900,36450,31250,33900,42850,59800,32150,36050,42150,63100,4.863715928982246,4.5573893473368345,4.595720406172392,4.440498387196269,-0.7079011675675705,-0.7328507511140121,0.05831414862616888,0.02632383799026011,-19.665809768637533,-11.796982167352537,-12.853470437017995,-1.0973936899862824,10.154241645244216,15.637860082304528,53.72750642673522,73.11385459533608
028670,팬오션,운송/물류,502.0,강력매도,2.1348,3375,3520,3715,3860,3850,4900,3945,4160,3905,5330,6.723107569721115,7.01195219123506,6.9022553070313055,7.137676955974909,-0.5962322018580343,-0.5889669241870781,-0.02595495665419576,-0.017614241372272486,10.074074074074074,12.073863636363637,14.37037037037037,18.181818181818183,14.074074074074074,10.9375,45.18518518518518,51.42045454545454
112610,씨에스윈드,에너지/화학,3434.0,강력매도,0.7602,35300,37600,46900,41900,41600,60200,46850,44550,44250,66100,10.279557367501456,10.949330227140361,11.047358834244081,12.2040072859745,-0.38264348724049124,-0.3581620697616033,-0.06950090770679329,-0.10280861273133463,32.86118980169972,24.601063829787233,18.69688385269122,18.48404255319149,17.847025495750707,17.68617021276596,70.53824362606233,75.79787234042553
071970,HD현대마린엔진,방산/중공업,2464.0,중립,0.0312,25550,27450,50300,82900,89500,76700,54200,87900,80500,80400,10.369318181818182,11.140422077922079,21.642561983471076,25.0,-0.37725274702396994,-0.3469604715408148,-0.5208830548926014,-0.5543831168831168,96.86888454011742,97.44990892531877,224.4618395303327,220.21857923497268,250.29354207436398,193.26047358834245,200.19569471624266,192.89617486338798
006360,GS건설,건설/부동산,2893.0,강력매도,2.2287,17120,17490,20750,18400,19700,26350,22200,19180,20100,31800,5.917732457656412,6.0456273764258555,8.955291608631603,9.296272133253142,-0.644600390572021,-0.6456118427536749,-0.33919153989887096,-0.3496718588088228,21.20327102803738,26.929674099485418,7.476635514018691,9.662664379645513,15.070093457943926,14.922813036020582,53.913551401869164,81.81818181818183
008930,한미사이언스,바이오/제약,878.0,중립,-0.2471,27550,28200,44800,38900,36250,38400,45200,40300,37100,38450,31.378132118451024,32.11845102505695,37.64272473142917,37.11564576598498,0.8844677381534463,0.8827489627892833,-0.16642240054816296,-0.13463849645606224,62.613430127041745,60.28368794326241,41.1978221415608,42.90780141843972,31.57894736842105,31.560283687943265,39.382940108892925,36.347517730496456
