Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector
326030,SK바이오팜,KOSPI,7721686450000,878696,3074.0,3074.0,547596283214.0,504495368894.0,96339659521.0,226973435375.0,1036810779623.0,651371301562.0,396276252761.0,462826530311.0,573984249312.0,2024.0,CFS,바이오/제약
128940,한미약품,KOSPI,7174154960000,828497,9567.0,9567.0,1495501575568.0,817036996044.0,216186188006.0,140431062099.0,2020840493653.0,746306484262.0,682758544357.0,780088902015.0,1240751591638.0,2024.0,CFS,바이오/제약
011070,LG이노텍,KOSPI,7005463672000,105961,18985.0,18985.0,21200755000000.0,1743671000000.0,706043000000.0,0.0,11378212000000.0,5853122000000.0,3954861000000.0,6024347000000.0,5353865000000.0,2024.0,CFS,IT/전자
028050,삼성E&A,KOSPI,6918800000000,126308,3862.0,,9966551344477.0,1509174642168.0,971611686017.0,638672451980.0,10013337796132.0,7941890024257.0,5871110579495.0,10013337796132.0,3895741786193.0,2024.0,CFS,방산/중공업
032640,LG유플러스,KOSPI,6799884576100,231363,871.0,871.0,,,863130000000.0,314602000000.0,19707730000000.0,5263896000000.0,5116288000000.0,10939351000000.0,8768379000000.0,2024.0,CFS,IT/전자
052690,한전기술,KOSPI,6707610000000,159209,1538.0,1538.0,,167195010838.0,54806059056.0,58512128400.0,946846882988.0,575753925755.0,361039308185.0,946846882988.0,577473652879.0,2024.0,CFS,소재/철강
078930,GS,KOSPI,6411161082000,500254,5988.0,,25297467000000.0,6191104000000.0,3060163000000.0,863517000000.0,35063398000000.0,5706980000000.0,6060442000000.0,35063398000000.0,18470356000000.0,2024.0,CFS,지주
267270,HD건설기계,KOSPI,6380557694000,1205842,5595.0,,3438062302000.0,650824965000.0,190421614000.0,85966730000.0,3324625332000.0,2112846135000.0,1063541773000.0,3324625332000.0,1793830435000.0,2024.0,CFS,건설/부동산
001040,CJ,KOSPI,6039638586000,148540,2993.0,2993.0,43646656090000.0,12623822787000.0,2547483645000.0,151195776000.0,47496993224000.0,13697532273000.0,16904989037000.0,29750607288000.0,17746385936000.0,2024.0,CFS,지주
034220,LG디스플레이,KOSPI,6015000000000,105873,-5438.0,-5438.0,,2575419000000.0,,,32859566000000.0,10123037000000.0,15859084000000.0,32859566000000.0,8072807000000.0,2024.0,CFS,IT/전자
001440,대한전선,KOSPI,5723932110000,113207,409.0,409.0,3291299375000.0,263386194000.0,115169757000.0,74190402000.0,2642726208000.0,1775776357000.0,920138410000.0,2642726208000.0,1496112472000.0,2024.0,CFS,소재/철강
271560,오리온,KOSPI,5448078989600,1238169,13271.0,13271.0,3104338576129.0,1196174532214.0,543587778241.0,533229552422.0,4308449797008.0,1647381241517.0,537615043736.0,4308449797008.0,3574045867619.0,2024.0,CFS,유통/소비재
022100,포스코DX,KOSPI,4925925219600,155212,580.0,580.0,1473290670631.0,187522952033.0,108991969223.0,88599060003.0,892453016139.0,676687634640.0,355027712350.0,892453016139.0,525897500876.0,2024.0,CFS,IT/전자
062040,산일전기,KOSPI,4862795840000,366438,3136.0,3061.0,333996550771.0,143563093705.0,109231906505.0,,492674198507.0,305188896644.0,52564399265.0,492674198507.0,434241887238.0,2024.0,OFS,소재/철강
066970,엘앤에프,KOSPI,4520069520200,398701,-11266.0,-12595.0,1907478512809.0,-463475192763.0,-558685355192.0,-380729239417.0,2799831517733.0,1089837750806.0,1552202559623.0,2799831517733.0,,2024.0,CFS,에너지/화학
251270,넷마블,KOSPI,4286527403300,904672,313.0,308.0,,,215627215188.0,3216188118.0,8177066253496.0,1114816595237.0,1348239156045.0,8177066253496.0,5473860209795.0,2024.0,CFS,엔터/미디어
018880,한온시스템,KOSPI,4248726965280,161125,-659.0,-659.0,9998723268169.0,812183664052.0,95537353794.0,-358595798106.0,10620252377496.0,4439022125072.0,5033806802743.0,10620252377496.0,2998738468366.0,2024.0,CFS,IT/전자
082740,한화엔진,KOSPI,4093082315100,361008,968.0,968.0,,116340351068.0,71531721192.0,79159548487.0,1413101954226.0,785001242520.0,586563184908.0,1019806164340.0,393295789886.0,2024.0,OFS,방산/중공업
353200,대덕전자,KOSPI,4091721390000,1478712,466.0,466.0,892135903752.0,61547000833.0,11259489061.0,23762727122.0,1088723750887.0,465866345845.0,159688137695.0,1088723750887.0,875513939249.0,2024.0,CFS,IT/전자
103590,일진전기,KOSPI,3938813214000,683469,983.0,982.0,1577247371000.0,155643123000.0,79742010000.0,0.0,1249038272000.0,702238015000.0,606533501000.0,1249038272000.0,500309704000.0,2024.0,CFS,소재/철강
051900,LG생활건강,KOSPI,3909778274500,356370,11281.0,11281.0,6811918756741.0,3560832396845.0,459045912180.0,203887730139.0,,2856048500735.0,1295900316472.0,,,2024.0,CFS,유통/소비재
000990,DB하이텍,KOSPI,3832754202800,160843,5520.0,5520.0,1131167709804.0,386836726833.0,190838683363.0,229385888355.0,2396851168578.0,1194370198832.0,316866668877.0,2396851168578.0,2000688804317.0,2024.0,CFS,IT/전자
010060,OCI홀딩스,KOSPI,3790057096000,148896,5077.0,5077.0,3577383349000.0,461046358000.0,101527729000.0,113723638000.0,8093654722000.0,4763348250000.0,1901359096000.0,3258113380000.0,4835541342000.0,2024.0,CFS,지주
