Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,per_group,sector_median_per,fair_price_market,gap_market,fair_price_sector,gap_sector,signal
033780,KT&G,KOSPI,18061571587500,244455,11383.0,11383.0,,2902024000000.0,1188814000000.0,1164999000000.0,13925237000000.0,7176310000000.0,3142888000000.0,4566772000000.0,9358465000000.0,2024.0,CFS,IT/전자,157600.0,13.845207765966792,일반,47.67864352038757,387860.4905263818,1.461043721614098,542725.9991925716,2.443692888277739,🔥 강력
030200,KT,KOSPI,15297716279500,190321,1908.0,1906.0,,,809471000000.0,417094000000.0,41879957000000.0,14251937000000.0,13874734000000.0,23883408000000.0,17996549000000.0,2024.0,CFS,IT/전자,59300.0,31.07966457023061,일반,47.67864352038757,65012.54642223811,0.09633299194330712,90970.85183689948,0.5340784458161801,🔥 강력
079550,LIG넥스원,KOSPI,14542000000000,503668,10173.0,,3276339508425.0,452627287247.0,229779392271.0,216648719554.0,6125264653217.0,3894568274428.0,4616518043951.0,6125264653217.0,1237435235062.0,2024.0,CFS,방산/중공업,641000.0,63.009928241423374,일반,42.05529677716929,346631.35993366264,-0.45923344784139997,427828.53411414317,-0.3325607892135052,— 고평가
047050,포스코인터내셔널,KOSPI,13546054676000,124504,3019.0,3019.0,32340793124000.0,1895983188000.0,1116921237000.0,503409725000.0,,8268175054000.0,6659697291000.0,,7349462921000.0,2024.0,CFS,유통/소비재,75900.0,25.140775091089765,일반,20.4177545691906,102868.38451191659,0.35531468395147026,61641.20104438642,-0.18786296384207615,⚠️ 주의
278470,에이피알,KOSPI,13459016722500,1190568,2875.0,2819.0,722753862301.0,543599699569.0,122705544449.0,107590435967.0,565143563187.0,286027445388.0,145136758580.0,241619489197.0,323524073990.0,2024.0,CFS,유통/소비재,332500.0,115.65217391304348,일반,20.4177545691906,97961.77723476656,-0.7053781135796494,58701.044386422975,-0.823455505604743,— 고평가
018260,삼성에스디에스,KOSPI,12581630280000,126186,9787.0,9787.0,13828232033800.0,2012332154316.0,911096907001.0,789501325293.0,13238330251696.0,9003786950710.0,2495408581399.0,3532880772221.0,9705449479475.0,2024.0,CFS,IT/전자,157100.0,16.051905589046694,일반,47.67864352038757,333478.9265379688,1.1227175463906354,466630.8841340331,1.9702793388544437,🔥 강력
323410,카카오뱅크,KOSPI,11973802818700,1133217,924.0,923.0,,,606880000000.0,440065000000.0,62805282000000.0,,,56265151000000.0,6540131000000.0,2024.0,OFS,IT/전자,23800.0,25.757575757575758,일반,47.67864352038757,31484.063361712797,0.32285980511398304,44055.06661283811,0.8510532190268114,🔥 강력
259960,크래프톤,KOSPI,11163781180500,760971,28593.0,28384.0,,,1182487684188.0,1302592653712.0,7919463568015.0,5004427032417.0,784829947760.0,1090331965788.0,6829131602227.0,2024.0,CFS,엔터/미디어,236500.0,8.271255202322246,일반,27.697013518832733,974268.2074691061,3.1195273043091167,791940.7075439843,2.3485865012430627,🔥 강력
003490,대한항공,KOSPI,9702614417350,113526,3566.0,3566.0,,3758168388895.0,2110200077994.0,1381858075058.0,47012065940089.0,11616873056353.0,16973485891743.0,47012065940089.0,10963191867177.0,2024.0,CFS,운송/물류,24850.0,6.968592260235558,일반,9.53266022607123,121506.6774327574,3.8896047256642814,33993.46636617,0.3679463326426561,🔥 강력
006260,LS,KOSPI,9469200000000,105952,8677.0,8677.0,,2661201000000.0,1072943000000.0,391515000000.0,20527939000000.0,12938266000000.0,10546216000000.0,20527939000000.0,6881153000000.0,2024.0,CFS,소재/철강,276500.0,31.865852253082863,일반,60.75709779179811,295657.16210993717,0.0692844922601706,527189.3375394322,0.9066522153324854,🔥 강력
