Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,per_group
347700,스피어,KOSDAQ,2111596949000,1336762,-972.0,-972.0,,,-13616615083.0,-17001454365.0,44641348927.0,38224660655.0,13073016685.0,44641348927.0,31251297396.0,2024.0,CFS,IT/전자,43000.0,-44.23868312757202,적자
445680,큐리옥스바이오시스템즈,KOSDAQ,2083483676100,1498974,-503.0,-706.0,4587636523.0,2558771492.0,-13377807751.0,-8089494005.0,70560573877.0,32266788286.0,19917655431.0,70560573877.0,48637481889.0,2024.0,CFS,바이오/제약,109300.0,-217.29622266401591,적자
085660,차바이오텍,KOSDAQ,1751468815250,525679,-144.0,-377.0,74156008793.0,275256311237.0,-59684136456.0,-14550152214.0,2194378669342.0,733844173401.0,1020667092916.0,1475529477270.0,718849192072.0,2024.0,CFS,바이오/제약,18500.0,-128.47222222222223,적자
090710,휴림로봇,KOSDAQ,1674789901940,540429,-17.0,-17.0,133097920524.0,14760742506.0,-4938399556.0,-9391668256.0,334935432412.0,192287656552.0,119954924061.0,334935432412.0,212389564046.0,2024.0,CFS,IT/전자,13820.0,-812.9411764705883,적자
115180,큐리언트,KOSDAQ,1674049790650,1042650,-812.0,-812.0,9179834444.0,1350783598.0,-27477790640.0,-24996940757.0,58070561569.0,50626748387.0,5014602377.0,58070561569.0,52684050748.0,2024.0,CFS,바이오/제약,40800.0,-50.24630541871921,적자
082270,젬백스,KOSDAQ,1670215037400,492894,-2202.0,-2202.0,,19715148883.0,-38336839563.0,-87218733402.0,150746205875.0,25166181267.0,70270367265.0,121740371913.0,,2024.0,CFS,바이오/제약,35500.0,-16.12170753860127,적자
160190,하이젠알앤엠,KOSDAQ,1609264800000,650771,-41.0,,75886180614.0,7075967856.0,-369253550.0,-1092879556.0,120185301263.0,62813519249.0,36373171473.0,120185301263.0,68373885015.0,2024.0,CFS,바이오/제약,38600.0,-941.4634146341464,적자
174900,앱클론,KOSDAQ,1560167433000,991191,-975.0,-975.0,2339823669.0,1076890716.0,-15588944512.0,-16301551979.0,48182887935.0,23224120815.0,18106875355.0,48182887935.0,29405991612.0,2024.0,OFS,바이오/제약,67500.0,-69.23076923076923,적자
456160,지투지바이오,KOSDAQ,1475846022800,1577952,-57297.0,-57297.0,768930985.0,190327521.0,-10763507974.0,-83254627454.0,25345035928.0,10742970400.0,141721765325.0,25345035928.0,-119539090270.0,2024.0,OFS,바이오/제약,72500.0,-1.2653367541057996,적자
466100,클로봇,KOSDAQ,1427051136900,1784914,-313.0,-313.0,33395079055.0,5870047453.0,-7490868842.0,-6729151697.0,69510934821.0,65669617251.0,8026984472.0,69510934821.0,59967623220.0,2024.0,CFS,IT/전자,52600.0,-168.05111821086263,적자
048410,현대바이오,KOSDAQ,1418631908400,313649,-174.0,-174.0,15050025356.0,11865276259.0,790972784.0,-6929528506.0,67704784931.0,6809973145.0,27486792004.0,67704784931.0,39438422428.0,2024.0,CFS,바이오/제약,14330.0,-82.35632183908046,적자
127120,제이에스링크,KOSDAQ,1371588302400,642541,-542.0,-542.0,15907717174.0,2813308326.0,-9111567866.0,-10801688734.0,54386406588.0,14275051922.0,27143520701.0,54386406588.0,25029674158.0,2024.0,CFS,IT/전자,37800.0,-69.74169741697418,적자
035760,CJ ENM,KOSDAQ GLOBAL,1363993378800,265324,-24283.0,-24283.0,5231360073502.0,1711187439160.0,104478244497.0,-580847429608.0,9316636930911.0,2909496824375.0,3814173897612.0,5638566211854.0,3678070719057.0,2024.0,CFS,엔터/미디어,59100.0,-2.433801424865132,적자
032500,케이엠더블유,KOSDAQ,1360553969450,226352,-969.0,-969.0,87357147199.0,11858632601.0,-45481033116.0,-38604140710.0,269041031826.0,111136013863.0,117105935229.0,269041031826.0,143650686108.0,2024.0,CFS,IT/전자,28800.0,-29.721362229102166,적자
189300,인텔리안테크,KOSDAQ,1304605885500,664181,-288.0,-288.0,257769448883.0,99427132089.0,-19443692778.0,-3011577414.0,440693069678.0,225272824430.0,91670412395.0,440693069678.0,264642289439.0,2024.0,CFS,IT/전자,128100.0,-444.7916666666667,적자
293490,카카오게임즈,KOSDAQ GLOBAL,1238161502690,1137383,-1205.0,-1205.0,,,19148863191.0,-128088854882.0,3173239057351.0,1069083664606.0,1199409097707.0,3173239057351.0,1478357269717.0,2024.0,CFS,IT/전자,13990.0,-11.609958506224066,적자
