Code,Name,Market,Marcap,corp_code,stock_code
139130,iM금융지주,KOSPI,2769167810920,00878915,139130
103140,풍산,KOSPI,2768798666400,00684714,103140
457190,이수스페셜티케미컬,KOSPI,2755961126400,01762569,457190
336260,두산퓨얼셀,KOSPI,2744187119400,01412725,336260
071970,HD현대마린엔진,KOSPI,2727288198000,00406046,071970
006360,GS건설,KOSPI,2721491382000,00120030,006360
279570,케이뱅크,KOSPI,2677587996600,01203312,279570
008930,한미사이언스,KOSPI,2629655097500,00161426,008930
026960,동서,KOSPI,2612140000000,00144395,026960
375500,DL이앤씨,KOSPI,2607950190200,01524093,375500
000120,CJ대한통운,KOSPI,2596044747200,00113410,000120
017960,한국카본,KOSPI,2585040909600,00159795,017960
000240,한국앤컴퍼니,KOSPI,2572745004000,00160047,000240
097230,HJ중공업,KOSPI,2568902536800,00633835,097230
003690,코리안리,KOSPI,2565792978270,00113191,003690
204320,HL만도,KOSPI,2530988768000,01042775,204320
004800,효성,KOSPI,2516083172100,00117188,004800
030000,제일기획,KOSPI,2450378092500,00148276,030000
005440,현대지에프홀딩스,KOSPI,2436784224630,00105280,005440
018670,SK가스,KOSPI,2403763440000,00144164,018670
383220,F&F,KOSPI,2401853602500,01568413,383220
001430,세아베스틸지주,KOSPI,2374072277800,00106669,001430
081660,미스토홀딩스,KOSPI,2365241472000,00195229,081660
007340,DN오토모티브,KOSPI,2325806883750,00116949,007340
004370,농심,KOSPI,2314445281000,00108241,004370
011210,현대위아,KOSPI,2308862546700,00106623,011210
023590,다우기술,KOSPI,2283710805300,00176914,023590
192820,코스맥스,KOSPI,2225638714900,01009789,192820
002790,아모레퍼시픽홀딩스,KOSPI,2156120676000,00154462,002790
282330,BGF리테일,KOSPI,2146661125200,01263022,282330
020150,롯데에너지머티리얼즈,KOSPI,2123419524650,00113997,020150
069960,현대백화점,KOSPI,2077325033400,00428251,069960
003540,대신증권,KOSPI,2048706690000,00110893,003540
475150,SK이터닉스,KOSPI,2021867115800,01817081,475150
483650,달바글로벌,KOSPI,1969194468500,01649204,483650
120110,코오롱인더,KOSPI,1929088279100,00795135,120110
395400,SK리츠,KOSPI,1899421182200,01535150,395400
000500,가온전선,KOSPI,1894186667500,00104768,000500
069620,대웅제약,KOSPI,1853852000000,00427483,069620
001120,LX인터내셔널,KOSPI,1827534000000,00120076,001120
361610,SK아이이테크놀로지,KOSPI,1815673620000,01386916,361610
161890,한국콜마,KOSPI,1810509405900,00939331,161890
006040,동원산업,KOSPI,1801237828800,00118026,006040
073240,금호타이어,KOSPI,1792504190880,00481454,073240
462870,시프트업,KOSPI,1790174719000,01384787,462870
008770,호텔신라,KOSPI,1746541384500,00165680,008770
