Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div
096770,SK이노베이션,KOSPI,19255112553200,00631518,-21541.0,-21541.0,74716970174000.0,4039022327000.0,315488338000.0,-2372482956000.0,110530097549000.0,36318431920000.0,37725576071000.0,70881188555000.0,39648908994000.0,2024,CFS
024110,기업은행,KOSPI,19217963442900,00149646,3106.0,3106.0,,,7474961000000.0,2654338000000.0,472219838000000.0,,,437988747000000.0,34231091000000.0,2024,CFS
000150,두산,KOSPI,19205888310000,00117212,-12665.0,-12665.0,,2962142000000.0,1003759000000.0,302227000000.0,30143063000000.0,11912646000000.0,11024159000000.0,30143063000000.0,11889482000000.0,2024,CFS
066570,LG전자,KOSPI,19204305027300,00401731,,,87728182000000.0,21379234000000.0,3419675000000.0,591365000000.0,65629589000000.0,33923517000000.0,27307439000000.0,40417925000000.0,25211664000000.0,2024,CFS
138040,메리츠금융지주,KOSPI,18607040157300,00860332,12259.0,12238.0,,,2333433638351.0,2333433638351.0,115578247112858.0,1350716000.0,,115578247112858.0,10930036028008.0,2024,CFS
000720,현대건설,KOSPI,18262345460000,00164478,-1501.0,,32670268000000.0,-216933000000.0,-1263420000000.0,-766221000000.0,27005385000000.0,21100663000000.0,14663775000000.0,27005385000000.0,9669413000000.0,2024,CFS
047810,한국항공우주,KOSPI,18101127369900,00309503,1765.0,1765.0,3633742105840.0,481490443379.0,240718310400.0,170895410977.0,8025538409393.0,5439008063568.0,4914742846130.0,8025538409393.0,1727176882121.0,2024,CFS
033780,KT&G,KOSPI,18061571587500,00244455,11383.0,11383.0,,2902024000000.0,1188814000000.0,1164999000000.0,13925237000000.0,7176310000000.0,3142888000000.0,4566772000000.0,9358465000000.0,2024,CFS
003670,포스코퓨처엠,KOSPI,17718087024000,00155276,-2752.0,-2752.0,3699944235821.0,235943884898.0,721245866.0,-231338259262.0,7932459834018.0,2112748442946.0,1570069945473.0,7932459834018.0,3320505865578.0,2024,CFS
086280,현대글로비스,KOSPI,17287500000000,00360595,,14585.0,28407374301315.0,2450195481488.0,1752867442226.0,1099486986046.0,16849145438725.0,9861432178173.0,5310609012498.0,16849145438725.0,8809364261941.0,2024,CFS
