Code,Name,Market,EPS,price,PER,fair_price,gap
310210,보로노이,KOSDAQ,-1860.0,324500,-174.46236559139786,-36116.01011926274,-1.1112974117696848
039030,이오테크닉스,KOSDAQ GLOBAL,3870.0,429500,110.98191214470285,75144.60169975634,-0.8250416724103461
095340,ISC,KOSDAQ GLOBAL,2671.0,247000,92.47472856608012,51863.36721965096,-0.7900268533617371
403870,HPSP,KOSDAQ GLOBAL,1056.0,51200,48.484848484848484,20504.573487065296,-0.599520049080756
108490,로보티즈,KOSDAQ,-244.0,261000,-1069.672131147541,-4737.799176935542,-1.0181524872679522
226950,올릭스,KOSDAQ,-2414.0,186900,-77.42336371168186,-46873.144316075406,-1.250792639465358
214150,클래시스,KOSDAQ GLOBAL,1517.0,53400,35.20105471324983,29455.907177914825,-0.44839125134990965
347850,디앤디파마텍,KOSDAQ,-2823.0,78100,-27.665603967410558,-54814.7831003649,-1.7018538169060806
083650,비에이치아이,KOSDAQ,633.0,109500,172.98578199052133,12291.093766394255,-0.8877525683434314
036930,주성엔지니어링,KOSDAQ GLOBAL,2272.0,72800,32.04225352112676,44115.900532776854,-0.39401235531899925
214450,파마리서치,KOSDAQ GLOBAL,8941.0,325000,36.34940163292696,173609.27229910117,-0.46581762369507335
357780,솔브레인,KOSDAQ GLOBAL,15296.0,428000,27.981171548117153,297005.6402065822,-0.306061588302378
145020,휴젤,KOSDAQ GLOBAL,12520.0,267000,21.3258785942492,243103.46596406962,-0.08950012747539468
043260,성호전자,KOSDAQ,147.0,45000,306.1224489795918,2854.3298320062486,-0.936570448177639
237690,에스티팜,KOSDAQ GLOBAL,1780.0,150800,84.71910112359551,34562.63333993961,-0.7708048187006658
084370,유진테크,KOSDAQ,2845.0,129400,45.48330404217926,55241.96171467876,-0.5730914859762074
064760,티씨케이,KOSDAQ GLOBAL,6167.0,253000,41.02480946975839,119745.93247607167,-0.5266959190669104
178320,서진시스템,KOSDAQ,1696.0,48000,28.30188679245283,32931.58772165033,-0.3139252557989515
140410,메지온,KOSDAQ,-653.0,91600,-140.27565084226646,-12679.437961225038,-1.1384218118037668
475830,오름테라퓨틱,KOSDAQ,-424.0,126300,-297.87735849056605,-8232.896930412582,-1.0651852488552065
068760,셀트리온제약,KOSDAQ,531.0,61300,115.44256120527307,10310.538372757266,-0.8318019841312029
058610,에스피지,KOSDAQ,591.0,120500,203.8917089678511,11475.570957249613,-0.9047670459979286
263750,펄어비스,KOSDAQ GLOBAL,982.0,41500,42.26069246435845,19067.6999661914,-0.5405373502122554
030530,원익홀딩스,KOSDAQ,-976.0,34350,-35.19467213114754,-18951.19670774217,-1.5517087833403835
005290,동진쎄미켐,KOSDAQ,3010.0,49800,16.54485049833887,58445.80132203271,0.1736104683139099
257720,실리콘투,KOSDAQ,1990.0,38500,19.34673366834171,38640.24738566282,0.0036427892379953327
035900,JYP Ent.,KOSDAQ GLOBAL,2951.0,66200,22.43307353439512,57300.185947281905,-0.13443827874196518
458870,씨어스테크놀로지,KOSDAQ,-752.0,182900,-243.21808510638297,-14601.741725637408,-1.0798345638361804
067310,하나마이크론,KOSDAQ,-428.0,34750,-81.19158878504673,-8310.565769378738,-1.239152971780683
041510,에스엠,KOSDAQ GLOBAL,795.0,98200,123.52201257861635,15436.68174452359,-0.842803648222774
089030,테크윙,KOSDAQ,-584.0,58000,-99.31506849315069,-11339.650489058839,-1.1955112153286007
218410,RFHIC,KOSDAQ,995.0,80900,81.30653266331659,19320.12369283141,-0.7611851212258169
039200,오스코텍,KOSDAQ,23.0,56000,2434.782608695652,446.5958240553995,-0.9920250745704392
323280,태성,KOSDAQ,233.0,69600,298.7124463519313,4524.209869778612,-0.9349969846296177
347700,스피어,KOSDAQ,-972.0,44750,-46.03909465020576,-18873.52786877601,-1.4217548127100785
445680,큐리옥스바이오시스템즈,KOSDAQ,-503.0,121700,-241.94831013916502,-9766.85649999417,-1.0802535456038962
098460,고영,KOSDAQ,319.0,29050,91.06583072100314,6194.089907550975,-0.7867783164354226
131970,두산테스나,KOSDAQ GLOBAL,1912.0,102400,53.55648535564853,37125.705025822775,-0.6374442868571994
078600,대주전자재료,KOSDAQ,2477.0,126200,50.94872830036334,48096.42852979237,-0.6188872541220889
099320,쎄트렉아이,KOSDAQ,722.0,176100,243.90581717451525,14019.225433391235,-0.9203905426837523
140860,파크시스템스,KOSDAQ GLOBAL,6175.0,273000,44.21052631578947,119901.27015400399,-0.5608012082270917
038500,삼표시멘트,KOSDAQ,616.0,17370,28.198051948051948,11961.00120078809,-0.3113988946005705
101490,에스앤에스텍,KOSDAQ,1452.0,85400,58.815426997245176,28193.788544714782,-0.6698619608347215
437730,삼현,KOSDAQ,274.0,55500,202.55474452554745,5320.315469181715,-0.9041384600147438
085660,차바이오텍,KOSDAQ,-144.0,18950,-131.59722222222223,-2796.0782027816313,-1.1475503009383448
232140,와이씨,KOSDAQ,137.0,21150,154.37956204379563,2660.1577345908577,-0.8742242205867207
090710,휴림로봇,KOSDAQ,-17.0,14020,-824.7058823529412,-330.09256560616484,-1.0235444055353897
115180,큐리언트,KOSDAQ,-812.0,44950,-55.357142857142854,-15766.774310129755,-1.3507624985568354
082270,젬백스,KOSDAQ,-2202.0,37800,-17.166212534059945,-42756.69585086912,-2.1311295198642624
160190,하이젠알앤엠,KOSDAQ,-41.0,52100,-1270.7317073170732,-796.1055994031034,-1.0152803378004436
174900,앱클론,KOSDAQ,-975.0,78300,-80.3076923076923,-18931.77949800063,-1.2417851787739544
080220,제주반도체,KOSDAQ,581.0,44300,76.24784853700517,11281.398859834222,-0.7453408835251868
397030,에이프릴바이오,KOSDAQ,913.0,64500,70.6462212486309,17727.912494025204,-0.7251486435034852
195940,HK이노엔,KOSDAQ GLOBAL,2174.0,52100,23.965041398344066,42213.01397810602,-0.189769405410633
456160,지투지바이오,KOSDAQ,-57297.0,89200,-1.5568005305687906,-1112547.8665609662,-13.47250971480904
466100,클로봇,KOSDAQ,-313.0,57100,-182.42811501597444,-6077.5866491017405,-1.1064375945551967
048410,현대바이오,KOSDAQ,-174.0,14700,-84.48275862068965,-3378.5944950278044,-1.2298363602059732
127120,제이에스링크,KOSDAQ,-542.0,40200,-74.16974169741698,-10524.127679914196,-1.2617942208933879
082920,비츠로셀,KOSDAQ,2300.0,30150,13.108695652173912,44659.58240553995,0.481246514279932
035760,CJ ENM,KOSDAQ GLOBAL,-24283.0,62200,-2.5614627517193096,-471508.1041537941,-8.580516143951675
032500,케이엠더블유,KOSDAQ,-969.0,32950,-34.00412796697626,-18815.276239551396,-1.5710250755554294
131290,티에스이,KOSDAQ,3956.0,121800,30.788675429726997,76814.48173752871,-0.3693392303979581
281740,레이크머티리얼즈,KOSDAQ,317.0,19980,63.02839116719243,6155.255488067897,-0.6919291547513564
189300,인텔리안테크,KOSDAQ,-288.0,121500,-421.875,-5592.1564055632625,-1.0460259786466113
183300,코미코,KOSDAQ GLOBAL,5402.0,120300,22.26952980377638,104891.76702379425,-0.12808173712556734
293490,카카오게임즈,KOSDAQ GLOBAL,-1205.0,13790,-11.443983402489627,-23397.737738554624,-2.6967177475384068
166090,하나머티리얼즈,KOSDAQ GLOBAL,1627.0,62000,38.10694529809465,31591.800249484128,-0.49045483468573986
253450,스튜디오드래곤,KOSDAQ GLOBAL,1114.0,39950,35.861759425493716,21630.771652074567,-0.4585539010744789
